Time,Healthy,Osteoarthritic
4240,-0.4096,-0.646
4245,-0.4096,-0.647
4250,-0.41,-0.646
4255,-0.41,-0.646
4260,-0.41,-0.646
4265,-0.4104,-0.648
4270,-0.4104,-0.647
4275,-0.4104,-0.647
4280,-0.4104,-0.647
4285,-0.4104,-0.648
4290,-0.4108,-0.647
4295,-0.4108,-0.647
4300,-0.4104,-0.648
4305,-0.4108,-0.648
4310,-0.4108,-0.648
4315,-0.4108,-0.649
4320,-0.4112,-0.649
4325,-0.4112,-0.649
4330,-0.4112,-0.649
4335,-0.4116,-0.649
4340,-0.4112,-0.649
4345,-0.4112,-0.65
4350,-0.4112,-0.649
4355,-0.4112,-0.65
4360,-0.4116,-0.65
4365,-0.4112,-0.65
4370,-0.4116,-0.65
4375,-0.4112,-0.651
4380,-0.4116,-0.651
4385,-0.412,-0.651
4390,-0.412,-0.651
4395,-0.4116,-0.652
4400,-0.412,-0.651
4405,-0.412,-0.652
4410,-0.412,-0.652
4415,-0.412,-0.652
4420,-0.412,-0.652
4425,-0.4124,-0.652
4430,-0.412,-0.652
4435,-0.4128,-0.653
4440,-0.4124,-0.652
4445,-0.4124,-0.652
4450,-0.4124,-0.653
4455,-0.4128,-0.653
4460,-0.4128,-0.653
4465,-0.4128,-0.654
4470,-0.4128,-0.654
4475,-0.4128,-0.654
4480,-0.4128,-0.654
4485,-0.4132,-0.653
4490,-0.4132,-0.655
4495,-0.4132,-0.654
4500,-0.4136,-0.654
4505,-0.4132,-0.655
4510,-0.4136,-0.654
4515,-0.4136,-0.655
4520,-0.4132,-0.656
4525,-0.4136,-0.655
4530,-0.4136,-0.655
4535,-0.4136,-0.656
4540,-0.4136,-0.656
4545,-0.4136,-0.655
4550,-0.414,-0.655
4555,-0.414,-0.656
4560,-0.414,-0.656
4565,-0.414,-0.657
4570,-0.414,-0.656
4575,-0.414,-0.657
4580,-0.414,-0.657
4585,-0.4144,-0.657
4590,-0.414,-0.657
4595,-0.4144,-0.657
4600,-0.4144,-0.657
4605,-0.4144,-0.658
4610,-0.414,-0.657
4615,-0.4144,-0.659
4620,-0.4144,-0.659
4625,-0.4148,-0.658
4630,-0.4144,-0.658
4635,-0.4148,-0.659
4640,-0.4144,-0.659
4645,-0.4148,-0.659
4650,-0.4152,-0.659
4655,-0.4148,-0.659
4660,-0.4148,-0.659
4665,-0.4148,-0.659
4670,-0.4152,-0.659
4675,-0.4152,-0.66
4680,-0.4148,-0.66
4685,-0.4152,-0.66
4690,-0.4152,-0.66
4695,-0.4152,-0.661
4700,-0.4152,-0.661
4705,-0.4152,-0.661
4710,-0.4152,-0.661
4715,-0.4156,-0.661
4720,-0.4152,-0.661
4725,-0.4156,-0.661
4730,-0.4152,-0.662
4735,-0.4152,-0.662
4740,-0.4156,-0.662
4745,-0.4156,-0.662
4750,-0.416,-0.662
4755,-0.4156,-0.662
4760,-0.4156,-0.663
4765,-0.4156,-0.663
4770,-0.416,-0.663
4775,-0.4156,-0.663
4780,-0.4156,-0.663
4785,-0.416,-0.663
4790,-0.416,-0.664
4795,-0.4156,-0.664
4800,-0.416,-0.664
4805,-0.4164,-0.664
4810,-0.4164,-0.664
4815,-0.4164,-0.664
4820,-0.416,-0.664
4825,-0.4164,-0.664
4830,-0.4164,-0.664
4835,-0.416,-0.665
4840,-0.416,-0.665
4845,-0.4164,-0.666
4850,-0.4164,-0.665
4855,-0.4164,-0.666
4860,-0.4168,-0.665
4865,-0.4164,-0.665
4870,-0.4164,-0.665
4875,-0.4168,-0.666
4880,-0.4168,-0.666
4885,-0.4168,-0.666
4890,-0.4168,-0.666
